we,we
have,have
to,to
kill,kill
all,all
the,the
palestinians,palestinian
unless,unless
they,they
are,are
resigned,resigned
live,live
here,here
as,a
slaves,slave
beasts,beast
walking,walking
on,on
two,two
legs,leg
now,now
that,that
trump,trump
is,is
president,president
i'm,i'm
going,going
shoot,shoot
you,you
and,and
blacks,black
i,i
can,can
find,find
fucking,fucking
faggots,faggot
shit,shit
jew,jew
wipe,wipe
out,out
jews,jew
women,woman
like,like
grass,grass
need,need
be,be
beaten,beaten
cut,cut
regularly,regularly
