well,well
said,said
sonu,sonu
you,you
have,have
courage,courage
to,to
stand,stand
against,against
dadagiri,dadagiri
of,of
muslims,muslim
most,most
private,private
banks,bank
atm's,atm's
like,like
hdfc,hdfc
icici,icici
etc,etc
are,are
out,out
cash,cash
only,only
public,public
sector,sector
bank's,bank's
atm,atm
working,working
now,now
question,question
is,is
pakistan,pakistan
will,will
adhere,adhere
this,this
comprised,comprised
fake,fake
who,who
does,doe
not,not
know,know
the,the
meaning,meaning
unity,unity
and,and
imposes,imposes
their,their
thoughts,thought
on,on
others,others
all,all
rascals,rascal
gathered,gathered
there,there
we,we
r,r
cow,cow
slaughter,slaughter
so,so
course,course
it,it
stop,stop
leather,leather
manufacturing,manufacturing
if,if
happens,happens
wondering,wondering
why,why
educated,educated
ambassador,ambassador
struggling,struggling
pay,pay
through,through
credit,credit
debit,debit
at,at
a,a
decent,decent
restaurant,restaurant
cant,cant
imagine,imagine
that,that
diplomat,diplomat
developed,developed
nation,nation
having,having
card,card
he,he
needs,need
for,for
dinner,dinner
how,how
inflation,inflation
react,react
after,after
shocks,shock
demon,demon
good,good
job,job
guis,gui
creating,creating
problem,problem
n,n
our,our
socacity,socacity
false,false
news,news
indian,indian
media,medium
simply,simply
misguiding,misguiding
hatred,hatred
should,should
be,be
v,v
careful,careful
while,while
spreading,spreading
shame,shame
no,no
permanent,permanent
foes,foe
friends,friend
interest,interest
deepak,deepak
kumar,kumar
sharma,sharma
saab,saab
chalo,chalo
aap,aap
ki,ki
ye,ye
baat,baat
ek,ek
baar,baar
mann,mann
li,li
whatever,whatever
pm,pm
has,ha
talked,talked
about,about
in,in
2014,2014
kya,kya
kia,kia
us,u
main,main
just,just
campaigner,campaigner
bjp,bjp
nothing,nothing
else,else
cheez,cheez
bta,bta
do,do
but,but
implementing,implementing
bills,bill
which,which
opposed,opposed
before,before
example,example
fdi,fdi
gst,gst
list,list
long,long
communist,communist
parties,party
killed,killed
lacks,lack
opponents,opponent
wb,wb
35,35
years,year
ruling,ruling
guys,guy
counter,counter
modi,modi
govt,govt
decisions,decision
its,it
fact,fact
black,black
money,money
cleanup,cleanup
taken,taken
many,many
discussions,discussion
channel,channel
individuals,individual
meetings,meeting
much,much
efforts,effort
made,made
by,by
make,make
people,people
scared,scared
provoke,provoke
rss,r
3,3
time,time
ban,ban
terrorist,terrorist
organization,organization
same,same
acting,acting
ll,ll
watch,watch
option,option
😬😜,😬😜
happy,happy
diwali,diwali
let's,let's
wish,wish
next,next
one,one
year,year
health,health
wealth,wealth
growth,growth
economy,economy
lolz,lolz
gonna,gonna
employ,employ
large,large
number,number
cyber,cyber
security,security
illiterates,illiterate
profile,profile
funny,funny
stupid,stupid
absolutely,absolutely
deeper,deeper
dive,dive
shallower,shallower
cushion,cushion
brown,brown
sahib,sahib
anti,anti
national,national
leftist,leftist
commies,commie
muslim,muslim
pandering,pandering
hindu,hindu
sick,sick
o,o
lars,lars
milked,milked
secularism,secularism
was,wa
worth,worth
render,render
into,into
mere,mere
failed,failed
slogan,slogan
larism,larism
been,been
more,more
than,than
continuation,continuation
british,british
policy,policy
divide,divide
rule,rule
idea,idea
because,because
used,used
as,a
dagger,dagger
heart,heart
hindus,hindu
hinduism,hinduism
hindustan,hindustan
nifty,nifty
above,above
20,20
day,day
moving,moving
average,average
what,what
50,50
8359,8359
see,see
when,when
terrror,terrror
pak,pak
afgan,afgan
india,india
can,can
development,development
step,step
first,first
gaurakshak,gaurakshak
assam,assam
villagers,villager
beaten,beaten
those,those
two,two
thieves,thief
these,these
things,thing
happen,happen
try,try
steal,steal
property,property
farmers,farmer
dont,dont
need,need
monsters,monster
u,u
tht,tht
hv,hv
thn,thn
2,2
flats,flat
or,or
land,land
legal,legal
rest,rest
surrender,surrender
properties,property
once,once
upon,upon
bengal,bengal
kolkata,kolkata
prosperous,prosperous
states,state
compared,compared
with,with
bihar,bihar
odisa,odisa
wake,wake
up,up
mitra,mitra
use,use
your,your
knowledge,knowledge
help,help
rather,rather
delivering,delivering
lecture,lecture
oh,oh
army,army
say,say
porki,porki
hijada,hijada
whose,whose
country,country
didn't,didn't
excepted,excepted
bodies,body
dickless,dickless
coward,coward
during,during
kargil,kargil
war,war
submitted,submitted
infront,infront
1971,1971
east,east
became,became
bangladesh,bangladesh
couldn't,couldn't
even,even
save,save
school,school
childrens,childrens
from,from
merciless,merciless
killings,killing
forces,force
really,really
reached,reached
lahore,lahore
1965,1965
would,would
lone,lone
boss,bos
supporters,supporter
shifts,shift
kejriwal,kejriwal
want,want
get,get
rid,rid
indians,indian
don't,don't
hear,hear
loud,loud
cries,cry
13,13
jio,jio
customers,customer
converted,converted
prime,prime
they,they
extended,extended
d,d
date😁,date😁
loot,loot
people's,people's
mandate,mandate
democracy,democracy
again,again
thing,thing
eyes,eye
judiciary,judiciary
accused,accused
deserved,deserved
ever,ever
keep,keep
bad,bad
eye,eye
she,she
without,without
mercy,mercy
occur,occur
other,other
countries,country
positional,positional
buy,buy
jpassociate,jpassociate
every,every
decline,decline
00,00
10,10
7,7
5,5
target,target
36,36
56,56
frame,frame
government,government
office,office
implement,implement
online,online
transactions,transaction
also,also
show,show
off,off
account,account
transaction,transaction
running,running
elections,election
rti,rti
dramebaaj,dramebaaj
anna,anna
aate,aate
hi,hi
lokpal,lokpal
bill,bill
aur,aur
bhool,bhool
gaye,gaye
karne,karne
mae,mae
sharm,sharm
bhi,bhi
nahi,nahi
aatee,aatee
unfortunately,unfortunately
wat,wat
capable,capable
doing,doing
i,i
dint,dint
vote,vote
modiji,modiji
such,such
crap,crap
it's,it's
backstab,backstab
wait,wait
forgot,forgot
lakh,lakh
porkis,porkis
soldier,soldier
were,were
freed,freed
way,way
own,own
channels,channel
anuj,anuj
brought,brought
divis,divis
days,day
710,710
tata,tata
motor,motor
dvr,dvr
275,275
any,any
talk,talk
common,common
man,man
suffering,suffering
where,where
thousands,thousand
laid,laid
lives,life
freedom,freedom
endure,endure
little,little
trouble,trouble
queues,queue
greater,greater
visited,visited
cont,cont
able,able
withdraw,withdraw
nagaland,nagaland
meghalaya,meghalaya
hate,hate
truth,truth
lok,lok
sabha,sabha
seats,seat
can't,can't
arunachal,arunachal
yes,yes
matters,matter
becoming,becoming
strongholds,stronghold
including,including
manipur,manipur
tripura,tripura
sikkim,sikkim
ji,ji
pain,pain
nö,nö
real,real
gain,gain
hell,hell
political,political
corrupt,corrupt
anyone,anyone
whomsoever,whomsoever
may,may
supporting,supporting
naxalites,naxalites
kill,kill
soldiers,soldier
taking,taking
side,side
jnu,jnu
students,student
shout,shout
bharat,bharat
ke,ke
tukde,tukde
katenge,katenge
afzhal,afzhal
guru,guru
tere,tere
katil,katil
jinda,jinda
hai,hai
very,very
recent,recent
wrong,wrong
chanting,chanting
zhindabad,zhindabad
attributed,attributed
hence,hence
decidedly,decidedly
antinational,antinational
mobbing,mobbing
poor,poor
girl,girl
instead,instead
helping,helping
her,her
jump,jump
conclusions,conclusion
impulsive,impulsive
he's,he's
saying,saying
'screw,'screw
bajaj,bajaj
making,making
me,me
this',this'
udhav,udhav
shown,shown
place,place
bravo,bravo
shivsena,shivsena
unebeivable,unebeivable
atory,atory
some,some
back,back
wrongly,wrongly
claiming,claiming
surgical,surgical
strikes,strike
surgicam,surgicam
strike,strike
please,please
advice,advice
bank,bank
npa,npa
benefit,benefit
psu,psu
plz,plz
share,share
ur,ur
view,view
astec,astec
life,life
bought,bought
675,675
offensive,offensive
defensive,defensive
strategy,strategy
doctrine,doctrine
learn,learn
lessons,lesson
israel,israel
give,give
free,free
hand,hand
covert,covert
missions,mission
inside,inside
bleed,bleed
tollywood,tollywood
parbhas,parbhas
die,die
fans,fan
bahubali,bahubali
😂😂😂😂😂bahubali,😂😂😂😂😂bahubali
graphics,graphic
cartoon,cartoon
movie,movie
compare,compare
cinema,cinema
bollywood,bollywood
movies,movie
khan,khan
aamir,aamir
salman,salman
shahrukh,shahrukh
then,then
lowly,lowly
called,called
civilised,civilised
popation,popation
claim,claim
pakistani,pakistani
professional,professional
true,true
professionals,professional
terrorists,terrorist
certainly,certainly
global,global
world,world
understanding,understanding
recognising,recognising
them,them
must,must
prevent,prevent
cross,cross
loc,loc
coming,coming
stealthily,stealthily
cost,cost
purpose,purpose
bullets,bullet
liberally,liberally
slap,slap
trade,trade
embargo,embargo
urge,urge
convince,convince
powerful,powerful
nations,nation
introduce,introduce
economic,economic
sanctions,sanction
an,an
indefinite,indefinite
period,period
state,state
down,down
knees,knee
haram,haram
pig,pig
scavengers,scavenger
eat,eat
dead,dead
harm,harm
mutilation,mutilation
reliance,reliance
giving,giving
3k,3k
months,month
subscription,subscription
unlimited,unlimited
calling,calling
std,std
roaming,roaming
4g,4g
means,mean
actual,actual
speed,speed
plan,plan
4,4
early,early
airtel,airtel
got,got
lower,lower
3g,3g
rates,rate
1599,1599
5gb,5gb
internet,internet
|,|
mistry,mistry
substantiate,substantiate
sons,son
counsel,counsel
suzlon,suzlon
energy,energy
purchase,purchase
canadian,canadian
solar,solar
baba,baba
always,always
wants,want
encash,encash
emmotional,emmotional
atmosphere,atmosphere
hes,he
lost,lost
his,his
sheen,sheen
drastically,drastically
dramatically,dramatically
km,km
lose,lose
series,series
it'll,it'll
shameful,shameful
australian,australian
team,team
home,home
become,become
leading,leading
mobile,mobile
data,data
usage,usage
mukesh,mukesh
ambani,ambani
agreed,agreed
intolerance,intolerance
groups,group
amir,amir
talking,talking
thinks,think
tweet,tweet
express,express
found,found
shirish,shirish
kunder,kunder
acknowledgeable,acknowledgeable
personality,personality
front,front
page,page
standard,standard
gone,gone
wife,wife
sitaram,sitaram
yachur,yachur
resident,resident
editor,editor
ok,ok
entertainment,entertainment
karan,karan
johar,johar
might,might
justin,justin
bieber,bieber
kick,kick
sixth,sixth
season,season
koffeewithkaran,koffeewithkaran
that's,that's
hypothetical,hypothetical
never,never
win,win
mohit,mohit
soni,soni
reality,reality
bro,bro
read,read
carefully,carefully
both,both
unbiased,unbiased
approach,approach
regardless,regardless
rank,rank
medal👍👍,medal👍👍
proud,proud
footballer😐,footballer😐
pakisthan,pakisthan
guts,gut
admit,admit
liars,liar
i'm,i'm
fan,fan
mate,mate
think,think
zee,zee
nano,nano
chit,chit
2000,2000
notes,note
lets,let
intellect,intellect
here,here
coz,coz
low,low
judge,judge
based,based
choices,choice
majority,majority
kashmiris,kashmiri
pro,pro
unable,unable
assert,assert
effectively,effectively
order,order
bring,bring
normalcy,normalcy
kashmir,kashmir
invitation,invitation
going,going
movement,movement
solve,solve
mentioned,mentioned
http,http
aapress,aapress
com,com
ethnicity,ethnicity
another,another
opportunity,opportunity
www,www
alwihdainfo,alwihdainfo
problem_a43528,problem_a43528
html,html
pakistanchristianpost,pakistanchristianpost
letterdetails,letterdetails
php,php
letterid=790,letterid=790
https,http
yahoo,yahoo
neo,neo
network,network
conversations,conversation
messages,message
50215,50215
regards,regard
email,email
hemraj_jain,hemraj_jain
lynching,lynching
part,part
struggle,struggle
chaddis,chaddis
chamchas,chamchas
sham,sham
dear,dear
playing,playing
emotions,emotion
votes,vote
five,five
worst,worst
riots,riot
post,post
independence,independence
faltered,faltered
congress,congress
cms,cm
riot,riot
hit,hit
remember,remember
japanese,japanese
last,last
fifa,fifa
cup,cup
am,am
mizo's,mizo's
decedent's,decedent's
ii,ii
famous,famous
battle,battle
kohima,kohima
between,between
britishers,britisher
japs,jap
😝😝😝,😝😝😝
p,p
s,s
pun,pun
intended,intended
work,work
nh,nh
8,8
getting,getting
completed,completed
particluarly,particluarly
hero,hero
honda,honda
chowk,chowk
hazare,hazare
agent,agent
ask,ask
khans,khan
ways,way
drunk,drunk
start,start
being,being
human,human
sure,sure
gunman,gunman
white,white
american,american
christian,christian
otherwise,otherwise
headline,headline
beer,beer
drinking,drinking
word,word
calls,call
trump's,trump's
world's,world's
laughing,laughing
stock,stock
great,great
orange,orange
call,call
cannot,cannot
least,least
support,support
trying,trying
something,something
better,better
today,today
whole,whole
recognise,recognise
promising,promising
banning,banning
beef,beef
north,north
hypocrisy,hypocrisy
best,best
take,take
guy,guy
seriously,seriously
contribution,contribution
producing,producing
three,three
children,child
waiting,waiting
soon,soon
grab,grab
sympathy,sympathy
shows,show
love,love
farce,farce
happening,happening
🤔,🤔
what's,what's
copy,copy
pasting,pasting
comment,comment
everywhere,everywhere
y'all,y'all
tired,tired
amma,amma
remain,remain
hearts,heart
noble,noble
soul,soul
peace,peace
per,per
405,405
total,total
constituency,constituency
403,403
given,given
irony,irony
display,display
picture,picture
end,end
seeing,seeing
innocent,innocent
dying,dying
praying,praying
motors,motor
over,over
reaction,reaction
entered,entered
thief's,thief's
territory,territory
men,men
cowards,coward
did,did
informed,informed
defeat,defeat
bihari,bihari
saddened,saddened
elect,elect
jdu,jdu
burden,burden
porinju,porinju
markets,market
new,new
high,high
budget,budget
seculars,secular
ruled,ruled
60yrs,60yrs
banned,banned
lol,lol
salute,salute
my,my
friend,friend
puppet,puppet
came,came
mcd,mcd
election,election
chutiya,chutiya
benefits,benefit
areas,area
why's,why's
ing,ing
roads,road
weak,weak
dis,dis
university,university
gaurav,gaurav
seth,seth
pj,pj
anshu,anshu
mishra,mishra
shubham,shubham
singh,singh
alright,alright
match,match
losing,losing
winning,winning
game,game
fired,fired
across,across
border,border
went,went
mutilate,mutilate
corpses,corps
sorry,sorry
hitting,hitting
highs,high
within,within
expiry,expiry
sir,sir
president,president
cm,cm
mp,mp
mla,mla
loiter,loiter
road,road
foraging,foraging
food,food
swallowing,swallowing
plastic,plastic
let,let
accept,accept
mini,mini
elements,element
exists,exists
funded,funded
enemy,enemy
weaken,weaken
integrity,integrity
few,few
heavyweight,heavyweight
traitors,traitor
politics,politics
hyderabad,hyderabad
section,section
fringe,fringe
short,short
term,term
monetary,monetary
gains,gain
prefer,prefer
destabilize,destabilize
following,following
external,external
resolving,resolving
issue,issue
china,china
distant,distant
dream,dream
mr,mr
associates,associate
unless,unless
rotten,rotten
fishes,fish
pond,pond
expect,expect
clean,clean
system,system
important,important
living,living
upto,upto
expectations,expectation
citizens,citizen
blindly,blindly
religion,religion
frankly,frankly
speaking,speaking
activists,activist
minded,minded
experience,experience
group,group
activist,activist
check,check
politicians,politician
beurocrats,beurocrats
functioning,functioning
properly,properly
squandering,squandering
guess,guess
daily,daily
right,right
congratulations,congratulation
11000,11000
11,11
prevails,prevails
delivers,delivers
vested,vested
often,often
search,search
aggressive,aggressive
activism,activism
absent,absent
welspun,welspun
rec,rec
wockhardt,wockhardt
gati,gati
metalyst,metalyst
bear,bear
nussiance,nussiance
befitting,befitting
reply,reply
😡😡😡😡,😡😡😡😡
however,however
reservation,reservation
poverty,poverty
alleviation,alleviation
scheme,scheme
social,social
historically,historically
exploited,exploited
marginalized,marginalized
rendered,rendered
weaker,weaker
wanted,wanted
window,window
obcs,obcs
supreme,supreme
court,court
says,say
create,create
subwindow,subwindow
breaching,breaching
barrier,barrier
basis,basis
jokes,joke
business,business
fear,fear
uncertainty,uncertainty
speech,speech
lampooning,lampooning
young,young
person,person
image,image
further,further
deteriorated,deteriorated
btwn,btwn
shapoorjees,shapoorjees
mens,men
blame,blame
soaps,soap
women,woman
mental,mental
violence,violence
had,had
centre,centre
15,15
